ITAG,logFC,logCPM,PValue,SGN_annotation,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align
Solyc03g097200.2.1,-1.534491394,3.856789796,0.041968254,Unknown Protein (AHRD V1),AT1G65000,NA,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G38060.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAP21387.1),75,80,2.00E-32,134,80.6122449
Solyc03g097520.2.1,-1.840045819,6.701212931,0.00483298,"MORC family CW-type zinc finger protein 4 (AHRD V1 *--- A1YR23_HUMAN); contains Interpro domain(s)  IPR003594  ATP-binding region, ATPase-like ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g097980.2.1,-1.329371561,5.712316742,0.043030081,"Guanine nucleotide-binding protein alpha-1 subunit (AHRD V1 *-*- B6TWS6_MAIZE); contains Interpro domain(s)  IPR001019  Guanine nucleotide binding protein (G-protein), alpha subunit ",AT1G31930,XLG3,"XLG3 (extra-large GTP-binding protein 3); signal transducer; similar to XLG1 (EXTRA-LARGE G-PROTEIN 1), signal transducer [Arabidopsis thaliana] (TAIR:AT2G23460.1); similar to G-protein alpha subunit, putative, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABA91995.1); similar to extra-large guanine nucleotide binding protein, putative, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABA99166.1); similar to Os11g0206700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001067461.1); contains InterPro domain Zinc finger, FYVE/PHD-type; (InterPro:IPR011011); contains InterPro domain G protein alpha subunit, helical insertion; (InterPro:IPR011025); contains InterPro domain Guanine nucleotide binding protein (G-protein), alpha subunit; (InterPro:IPR001019)",61.98,668,0,854,77.08578143
Solyc03g098060.1.1,-2.490760317,5.489865187,0.000355339,"Zinc finger-homeodomain protein 3 (Fragment) (AHRD V1 **-- B0LK11_ESCCA); contains Interpro domain(s)  IPR006455  Homeobox domain, ZF-HD class ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g098340.2.1,1.878913718,3.799592445,0.011596361,Unknown Protein (AHRD V1),AT1G73240,NA,similar to hypothetical protein SDM1_56t00017 [Solanum demissum] (GB:AAU90340.1),52.79,538,5.00E-128,454,96.06440072
Solyc03g098660.2.1,-3.086378047,2.912343035,0.003021273,FIP1 (AHRD V1 **-- B6TFD3_MAIZE); contains Interpro domain(s)  IPR004182  GRAM ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g098780.1.1,-1.55075097,5.500809846,0.028660818,"Kunitz-type protease inhibitor (AHRD V1 **** Q3S488_SOLTU); contains Interpro domain(s)  IPR002160  Proteinase inhibitor I3, Kunitz legume ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g110940.2.1,-1.448334808,4.908163718,0.036356309,Uncharacterized aarF domain-containing protein kinase 1 (AHRD V1 **-- ADCK1_HUMAN); contains Interpro domain(s)  IPR004147  ABC-1 ,AT5G50330,NA,ATP binding / protein kinase; similar to ATP binding / electron carrier/ heme binding / iron ion binding / protein kinase [Arabidopsis thaliana] (TAIR:AT4G24810.2); similar to Os01g0904200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045121.1); similar to ABC transporter-like protein [Oryza sativa (japonica cultivar-group)] (GB:BAB90550.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain ABC-1; (InterPro:IPR004147),73.68,456,0,726,93.42915811
Solyc03g111140.2.1,-1.674805767,4.760122182,0.016904383,Malate synthase (AHRD V1 **** B9RAK0_RICCO); contains Interpro domain(s)  IPR006252  Malate synthase A ,AT5G03860,MLS,Encodes a protein with malate synthase activity.,83.58,548,0,958,95.62937063
Solyc03g111360.2.1,2.563786745,2.8138119,0.003021273,Oxygen-independent coproporphyrinogen III oxidase-like protein sll1917 (AHRD V1 ***- B6UAC6_MAIZE); contains Interpro domain(s)  IPR004559  Putative oxygen-independent coproporphyrinogen III oxidase ,AT5G63290,NA,"coproporphyrinogen oxidase-related; similar to putative oxygen-independent coproporphyrinogen III oxidase [Trichodesmium erythraeum IMS101] (GB:YP_721024.1); similar to Os12g0270100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066545.1); contains InterPro domain Putative oxygen-independent coproporphyrinogen III oxidase; (InterPro:IPR004559); contains InterPro domain HemN, C-terminal; (InterPro:IPR010723); contains InterPro domain Radical SAM; (InterPro:IPR007197); contains InterPro domain Elongator protein 3/MiaB/NifB; (InterPro:IPR006638)",60.95,484,3.00E-172,601,99.57627119
Solyc03g111370.2.1,-2.358799611,4.6472745,0.000902494,"Zinc finger protein (AHRD V1 ***- B6STE4_MAIZE); contains Interpro domain(s)  IPR007087  Zinc finger, C2H2-type ",AT5G63280,NA,"zinc finger (C2H2 type) family protein; similar to zinc finger (C2H2 type) family protein [Arabidopsis thaliana] (TAIR:AT5G40710.1); similar to Os12g0233400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066450.1); similar to PREDICTED: similar to CG4133-PA [Tribolium castaneum] (GB:XP_969705.1); contains InterPro domain Zinc finger, C2H2-type; (InterPro:IPR007087)",67.25,229,4.00E-90,327,80.56537102
Solyc03g111390.2.1,-1.71108785,7.927822797,0.007954487,Kelch domain-containing protein 4 (AHRD V1 ***- B2VXE7_PYRTR); contains Interpro domain(s)  IPR015915  Kelch-type beta propeller ,AT5G50310,NA,"kelch repeat-containing protein; similar to kelch repeat-containing protein [Arabidopsis thaliana] (TAIR:AT3G07720.1); similar to Os04g0483600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053126.1); similar to H0805A05.4 [Oryza sativa (indica cultivar-group)] (GB:CAH67474.1); similar to OSJNBa0081L15.6 [Oryza sativa (japonica cultivar-group)] (GB:CAE03144.2); contains InterPro domain Kelch; (InterPro:IPR011498); contains InterPro domain Galactose oxidase, central; (InterPro:IPR011043); contains InterPro domain Kelch repeat; (InterPro:IPR006652)",72.67,644,0,827,93.35302806
Solyc03g111650.2.1,-1.750687586,6.817767448,0.007349995,Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7M7W8_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ,AT5G50280,EMB1006,EMB1006 (EMBRYO DEFECTIVE 1006); binding; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT5G02860.1); similar to Putative indole-3-acetate beta-glucosyltransferase [Oryza sativa (japonica cultivar-group)] (GB:AAM15782.1); similar to Os05g0294600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001055108.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990),50.57,615,1.00E-157,553,84.27672956
Solyc03g111770.2.1,-2.444535607,5.426046913,0.000435503,Abhydrolase domain-containing protein FAM108B1 (AHRD V1 **-- C0HAS5_SALSA); contains Interpro domain(s)  IPR000073  Alpha/beta hydrolase fold-1 ,AT4G24760,NA,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G14390.1); similar to Esterase/lipase/thioesterase [Medicago truncatula] (GB:ABD32255.1); contains InterPro domain Esterase/lipase/thioesterase; (InterPro:IPR000379),76.14,373,2.00E-144,509,99.19354839
Solyc03g112010.2.1,-1.897873274,3.415591648,0.019023016,Cytochrome P450,AT3G48320,CYP71A21,putative cytochrome P450,51.41,496,9.00E-140,493,97.39478958
Solyc03g112420.1.1,2.020513801,2.9374027,0.016618872,Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7KSS5_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ,AT1G64310,NA,pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT4G18750.1); similar to Ribosomal protein L11; Sugar transporter superfamily; Tetratricopeptide-like helical [Medicago truncatula] (GB:ABE79684.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990),52.46,528,2.00E-159,559,94.42446043
Solyc03g112450.2.1,-2.365161214,4.095889655,0.001281107,"Signal recognition particle receptor beta subunit-like protein (AHRD V1 ***- Q0WRZ7_ARATH); contains Interpro domain(s)  IPR019009  Signal recognition particle receptor, beta subunit ",AT5G05670,NA,signal recognition particle binding; similar to signal recognition particle binding [Arabidopsis thaliana] (TAIR:AT2G18770.1); similar to AAA ATPase; Small GTP-binding protein domain [Medicago truncatula] (GB:ABE88783.1); contains domain SIGNAL RECOGNITION PARTICLE RECEPTOR BETA SUBUNIT RELATED (PTHR19326:SF4); contains domain FAMILY NOT NAMED (PTHR19326); contains domain no description (G3D.3.40.50.300); contains domain P-loop containing nucleoside triphosphate hydrolases (SSF52540),68.73,259,3.00E-93,338,98.09160305
Solyc03g112620.2.1,-1.990707126,3.435962745,0.025401472,"Carboxyl-terminal proteinase (AHRD V1 ***- B4FXN3_MAIZE); contains Interpro domain(s)  IPR004314  Protein of unknown function DUF239, plant ",AT5G50150,NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G70550.1); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G10750.1); similar to putative carboxyl-terminal proteinase [Gossypium hirsutum] (GB:AAK84952.2); contains InterPro domain Protein of unknown function DUF239, plant; (InterPro:IPR004314)",77.49,382,1.00E-169,593,92.70072993
Solyc03g112650.2.1,-1.601674192,3.73361302,0.031714998,Soul heme-binding family protein (AHRD V1 **** D7KEL8_ARALY); contains Interpro domain(s)  IPR006917  SOUL haem-binding protein ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g113640.2.1,1.292797891,5.10978562,0.046647494,"IP15632p (Fragment) (AHRD V1 *--- Q1WWF1_DROME); contains Interpro domain(s)  IPR007751  Protein of unknown function DUF676, hydrolase-like ",AT1G58350,ZW18,"ZW18 mRNA, complete cds",58.89,832,0,954,99.26829268
Solyc03g113950.2.1,1.364155371,4.084037359,0.043706632,Calmodulin-binding protein (AHRD V1 **** Q9FKL6_ARATH); contains Interpro domain(s)  IPR012416  Calmodulin binding protein-like ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g114850.2.1,-1.681667492,6.119679782,0.010919505,"Squamosa promoter binding protein 3 (AHRD V1 *-*- Q1MU26_PHYPA); contains Interpro domain(s)  IPR004333  Transcription factor, SBP-box ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g114950.2.1,-2.010730287,3.624330861,0.007573276,"Lipid a export ATP-binding/permease protein msba (AHRD V1 ***- Q17P67_AEDAE); contains Interpro domain(s)  IPR001140  ABC transporter, transmembrane region ",AT5G39040,ALS1,member of TAP subfamily,75.32,628,0,871,97.96557121
Solyc03g115020.2.1,-1.601087094,4.222758804,0.027832884,Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR009500  Protein of unknown function DUF1118 ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g115120.1.1,-1.393744435,4.716692886,0.048689182,"Chaperone protein dnaJ (AHRD V1 ***- A8BQ93_GIALA); contains Interpro domain(s)  IPR015609  Molecular chaperone, heat shock protein, Hsp40, DnaJ ",AT1G74250,NA,"DNAJ heat shock N-terminal domain-containing protein; similar to DNAJ heat shock N-terminal domain-containing protein / cell division protein-related [Arabidopsis thaliana] (TAIR:AT3G11450.1); similar to DnaJ domain containing protein [Tetrahymena thermophila SB210] (GB:XP_001016844.1); similar to Os12g0502700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066831.1); contains InterPro domain Zinc finger, U1-type; (InterPro:IPR003604); contains InterPro domain Heat shock protein DnaJ, N-terminal; (InterPro:IPR001623); contains InterPro domain Zinc finger, C2H2-type; (InterPro:IPR007087)",60.83,337,2.00E-92,336,87.93565684
Solyc03g115140.2.1,-1.480741582,9.815122881,0.020100842,"Chaperone protein dnaJ (AHRD V1 *-*- A8BQ93_GIALA); contains Interpro domain(s)  IPR015609  Molecular chaperone, heat shock protein, Hsp40, DnaJ ",AT1G74250,NA,"DNAJ heat shock N-terminal domain-containing protein; similar to DNAJ heat shock N-terminal domain-containing protein / cell division protein-related [Arabidopsis thaliana] (TAIR:AT3G11450.1); similar to DnaJ domain containing protein [Tetrahymena thermophila SB210] (GB:XP_001016844.1); similar to Os12g0502700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066831.1); contains InterPro domain Zinc finger, U1-type; (InterPro:IPR003604); contains InterPro domain Heat shock protein DnaJ, N-terminal; (InterPro:IPR001623); contains InterPro domain Zinc finger, C2H2-type; (InterPro:IPR007087)",50.54,651,4.00E-132,468,99.67897271
Solyc03g115380.1.1,-3.64424679,2.97188444,8.77E-05,"UDP-glucose dehydrogenase (AHRD V1 **** B1N754_EUCGR); contains Interpro domain(s)  IPR014028  UDP-glucose/GDP-mannose dehydrogenase, dimerisation and substrate-binding ",AT3G29360,NA,"UDP-glucose 6-dehydrogenase, putative; similar to ATUGD1/UGD1 (UDP-glucose dehydrogenase 1), UDP-glucose 6-dehydrogenase [Arabidopsis thaliana] (TAIR:AT1G26570.1); similar to UDP-glucose 6-dehydrogenase, putative [Arabidopsis thaliana] (TAIR:AT5G39320.1); similar to UDP-glucose 6-dehydrogenase, putative [Arabidopsis thaliana] (TAIR:AT5G15490.1); similar to UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (GB:Q96558); similar to UDP-glucose dehydrogenase [Cinnamomum osmophloeum] (GB:AAR84297.1); similar to putative UDP-glucose dehydrogenase 1 [Nicotiana tabacum] (GB:AAT40105.1); contains InterPro domain UDP-glucose/GDP-mannose dehydrogenase; (InterPro:IPR001732); contains InterPro domain 6-phosphogluconate dehydrogenase, C-terminal-like; (InterPro:IPR008927)",87.29,480,0,875,99.58419958
Solyc03g115500.2.1,-2.086008743,3.402341686,0.034976215,"Heparanase (AHRD V1 **** C9E7B7_ORYSI); contains Interpro domain(s)  IPR005199  Glycoside hydrolase family 79, N-terminal ",AT5G07830,AtGUS2,"glycosyl hydrolase family 79 N-terminal domain-containing protein; Identical to Heparanase-like protein 1 precursor (EC 3.2.-.-) [Arabidopsis Thaliana] (GB:Q9FF10;GB:Q9SDA1); similar to glycosyl hydrolase family 79 N-terminal domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G61250.1); similar to Os03g0211700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049350.1); similar to putative heparanase [Hordeum vulgare subsp. vulgare] (GB:CAD42650.1); similar to Os12g0578400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001067122.1); contains InterPro domain Glycoside hydrolase family 79, N-terminal; (InterPro:IPR005199)",57.69,546,0,663,99.63031423
Solyc03g115630.2.1,-1.560583138,6.039445443,0.017600982,"Carbamoyl-phosphate synthase small chain (AHRD V1 ***- B6TJA4_MAIZE); contains Interpro domain(s)  IPR006274  Carbamoyl phosphate synthase, small subunit ",AT3G27740,CARA,"carbamoyl phosphate synthetase small subunit mRNA (carA),",76.47,408,0,672,95.31615925
Solyc03g115730.2.1,-1.569400536,5.20540446,0.020897968,Unknown Protein (AHRD V1),NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g115790.1.1,2.2528876,3.042784736,0.006315856,Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7MMG1_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g115820.2.1,-1.358796027,5.350234468,0.046553378,Ribulose-5-phosphate-3-epimerase (AHRD V1 ***- Q8S4X2_PEA); contains Interpro domain(s)  IPR000056  Ribulose-phosphate 3-epimerase ,AT5G61410,EMB2728,Arabidopsis thaliana ribulose-5-phosphate-3-epimerase mRNA,90.12,253,3.00E-133,471,89.0459364
Solyc03g115900.2.1,-1.968785773,7.081879896,0.002869708,"Chlorophyll a-b binding protein P4, chloroplastic (AHRD V1 ***- CB24_PEA); contains Interpro domain(s)  IPR001344  Chlorophyll A-B binding protein ",AT3G47470,CAB4,Encodes a chlorophyll a/b-binding protein that is more similar to the PSI Cab proteins than the PSII cab proteins. The predicted protein is about 20 amino acids shorter than most known Cab proteins.,84.86,251,2.00E-126,448,98.80952381
Solyc03g115980.1.1,-1.881131231,8.509219855,0.003640929,"Geranylgeranyl reductase (AHRD V1 ***- Q1ZYL0_OLEEU); contains Interpro domain(s)  IPR011774  Geranylgeranyl reductase, plants and cyanobacteria ",AT1G74470,NA,Encodes for a multifunctional protein with geranylgeranyl reductase activity shown to catalyze the reduction of prenylated geranylgeranyl-chlorophyll a to phytyl-chlorophyll a (chlorophyll a) and free geranylgeranyl pyrophosphate to phytyl pyrophosphate.,80.9,466,0,744,99.13978495
Solyc03g115990.1.1,1.533055131,4.591447431,0.020474398,"Malate dehydrogenase (AHRD V1 **** O48906_MEDSA); contains Interpro domain(s)  IPR010097  Malate dehydrogenase, NAD-dependent, eukaryotes and gamma proteobacteria ",AT3G47520,MDH,"Encodes a protein with NAD-dependent malate dehydrogenase activity, located in chloroplasts.",78.22,381,7.00E-166,580,91.28329298
Solyc03g116170.2.1,1.382671783,6.713112631,0.03091248,Nucleosome assembly protein family (AHRD V1 **-- A9RDJ7_PHYPA); contains Interpro domain(s)  IPR002164  Nucleosome assembly protein (NAP) ,AT1G18800,NRP2,Double nrp1-1 nrp2-1 mutants show arrest of cell cycle progression at G2/M  and disordered cellular organization occurred in root tips. Localize in the nucleus and can form homomeric and heteromeric protein complexes with NRP1. Bind histones Histone2A and Histone2B and associate with chromatin in vivo.,71.77,209,6.00E-85,310,81.49606299
Solyc03g116320.2.1,-2.725670818,4.381208304,0.000297792,"TCP family transcription factor (AHRD V1 *-*- A6MCZ2_9ORYZ); contains Interpro domain(s)  IPR005333  Transcription factor, TCP ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g116680.2.1,-1.32014407,8.242689874,0.038420454,Methyl binding domain protein (Fragment) (AHRD V1 *--- B9HAA5_POPTR); contains Interpro domain(s)  IPR001739  Methyl-CpG DNA binding ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g116830.2.1,2.471729738,2.388736481,0.014655871,Phox domain-containing protein (AHRD V1 ***- D7L4Y9_ARALY); contains Interpro domain(s)  IPR001683  Phox-like ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g116840.1.1,1.362790385,5.113399817,0.041567939,Pentatricopeptide repeat-containing protein (AHRD V1 *-*- D7KHY5_ARALY); contains Interpro domain(s)  IPR008906  HAT dimerisation ,NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g116920.1.1,1.368619524,5.997783385,0.035158889,Sister chromatid cohesion protein PDS5 homolog A (AHRD V1 *--- PDS5A_CHICK),NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g117010.2.1,-1.397569818,7.326024238,0.029428862,Sister chromatid cohesion protein PDS5 homolog B (AHRD V1 *--- PDS5B_RAT),NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g117080.2.1,1.514084177,3.184208361,0.046030301,Mitochondrial glycoprotein family protein (AHRD V1 ***- D7KDK7_ARALY); contains Interpro domain(s)  IPR003428  Mitochondrial glycoprotein ,AT1G15870,NA,mitochondrial glycoprotein family protein / MAM33 family protein; similar to mitochondrial glycoprotein family protein / MAM33 family protein [Arabidopsis thaliana] (TAIR:AT1G80720.1); similar to Os09g0557400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063903.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:BAB16469.1); similar to Os08g0439900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001061899.1); contains InterPro domain Mitochondrial glycoprotein; (InterPro:IPR003428),55.81,215,7.00E-58,220,90.04329004
Solyc03g117110.2.1,-2.815268511,5.110650544,6.77E-05,DCN1-like protein 4 (AHRD V1 ***- B6TI85_MAIZE); contains Interpro domain(s)  IPR014764  Defective in cullin neddylation ,AT1G15860,NA,calcium ion binding; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G12760.1); similar to hypothetical protein DDBDRAFT_0185973 [Dictyostelium discoideum AX4] (GB:XP_638588.1); contains InterPro domain EF-Hand type; (InterPro:IPR011992); contains InterPro domain Protein of unknown function DUF298; (InterPro:IPR005176),73.81,210,1.00E-80,296,90.86956522
Solyc03g117290.1.1,-2.103188393,6.121175068,0.001641702,Serine-rich protein (AHRD V1 ***- A1YMW6_BRACM),AT5G11090,NA,serine-rich protein-related; similar to serine-rich protein-related [Arabidopsis thaliana] (TAIR:AT5G25280.2); similar to unknown [Solanum tuberosum] (GB:ABA40431.1),58.11,148,3.00E-35,143,96.6442953
Solyc03g117300.2.1,1.925898827,4.057236623,0.006076336,Nodulin-like protein (AHRD V1 ***- Q8H6R3_PONTR); contains Interpro domain(s)  IPR010658  Nodulin-like ,AT1G80530,NA,nodulin family protein; similar to nodulin family protein [Arabidopsis thaliana] (TAIR:AT2G16660.1); similar to nodulin-like protein [Poncirus trifoliata] (GB:AAN62343.1); similar to Nodulin-like [Medicago truncatula] (GB:ABE93291.1); contains InterPro domain Nodulin-like; (InterPro:IPR010658),63.75,560,0,672,98.93617021
Solyc03g117550.1.1,-2.001017755,6.21260877,0.003101015,Receptor protein kinase-like (AHRD V1 *-*- Q5JN26_ORYSJ); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT1G80870,NA,"protein kinase family protein; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT2G45590.1); similar to Os03g0251700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001049573.1); similar to Protein kinase domain containing protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABF94994.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)",54.35,701,2.00E-166,582,95.43509272
Solyc03g117590.2.1,-1.883007542,7.084858757,0.004360568,"Chaperone protein dnaJ (AHRD V1 *-*- C5UZI2_CLOBO); contains Interpro domain(s)  IPR001623  Heat shock protein DnaJ, N-terminal ",NA,NA,NA,NA,NA,NA,NA,NA
Solyc03g117670.2.1,-1.384914839,5.004038652,0.047349865,Snf1-related kinase interacting protein SKI2 (AHRD V1 *-*- A3KLL3_PHYPA),AT1G80940,NA,similar to predicted protein [Populus alba x Populus tremula] (GB:AAR14272.1),64.06,192,7.00E-61,229,88.67924528
Solyc03g117970.2.1,-1.894351062,6.817941807,0.003765645,Novel protein similar to vertebrate ADP-ribosyltransferase (NAD+ poly (ADP-ribose) polymerase) (ADPRT) (AHRD V1 **** Q5RHR0_DANRE); contains Interpro domain(s)  IPR008288  NAD+ ADP-ribosyltransferase ,AT2G31320,ATPARP2,"poly (ADP-ribose) polymerase, putative / NAD(+) ADP-ribosyltransferase, putative / poly(ADP-ribose) synthetase, putative; Identical to Poly [ADP-ribose] polymerase 1 (EC 2.4.2.30) (PARP-1) (ADPRT 1) (NAD(+) ADP-ribosyltransferase 1) (Poly[ADP-ribose] synthetase 1) (PARP1) [Arabidopsis Thaliana] (GB:Q9ZP54;GB:Q9SJW4); similar to NAD+ ADP-ribosyltransferase [Arabidopsis thaliana] (TAIR:AT5G22470.1); similar to Poly [ADP-ribose] polymerase 1 (PARP-1) (ADPRT 1) (NAD(+) ADP-ribosyltransferase 1) (Poly[ADP-ribose] synthetase 1) (GB:Q9ZSV1); similar to poly(ADP-ribose) synthetase (GB:AAB59447.1); similar to poly(ADP-ribose) polymerase [Zea mays] (GB:CAA10889.1); contains InterPro domain BRCT; (InterPro:IPR001357); contains InterPro domain Zinc finger, PARP-type; (InterPro:IPR001510); contains InterPro domain NAD+ ADP-ribosyltransferase; (InterPro:IPR008288); contains InterPro domain Poly(ADP-ribose) polymerase, regulatory region; (InterPro:IPR004102); contains InterPro domain PADR1; (InterPro:IPR012982); contains InterPro domain WGR; (InterPro:IPR008893); contains InterPro domain PARP, catalytic; (InterPro:IPR012317); contains InterPro domain Poly(ADP-ribose) polymerase, catalytic region; (InterPro:IPR001290)",67.2,1003,0,1355,99.79859013
Solyc03g118160.1.1,2.017299784,6.187699336,0.002362769,FLORICAULA/LEAFY-like protein (AHRD V1 ***- Q9LDP5_SOLLC); contains Interpro domain(s)  IPR002910  Floricaula/leafy protein ,AT5G61850,LFY,Encodes transcriptional regulator that promotes the transition to flowering.Involved in floral meristem development.,62.29,419,2.00E-110,396,94.88372093
Solyc03g118200.2.1,-1.547518271,5.343721931,0.021887556,Copine-3 (AHRD V1 ***- B6SK39_MAIZE); contains Interpro domain(s)  IPR010734  Copine ,AT5G61910,NA,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G32910.1); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABA94008.2); similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABG22502.1); similar to Os06g0227200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057206.1); contains domain KELCH-RELATED PROTEINS (PTHR23230); contains domain SUBFAMILY NOT NAMED (PTHR23230:SF1); contains domain no description (SM00767),71.5,579,0,843,99.31153184
Solyc03g118240.2.1,-1.981168705,6.208392027,0.003017383,Magnesium-protoporphyrin ix methyltransferase (AHRD V1 **** D7MGJ7_ARALY); contains Interpro domain(s)  IPR010251  Magnesium protoporphyrin O-methyltransferase ,AT4G25080,CHLM,"Encodes a protein with methyltransferase activity responsible for the methylation of magnesium protoporphyrin IX. Mutants defective in this gene are affected in chlorophyll biosynthesis and show a reduction in the accumulation of a number of major thylakoid-associated proteins including components of PSI (LHCI), PSII (LHCII, D1, CP43) and the cytochrome b6f complex (Cytf). By contrast, no significant changes were detected for the proteins of the stroma and the chloroplast envelope.",74.5,302,4.00E-116,414,90.54878049
Solyc03g118740.2.1,-1.592837551,4.514899757,0.019375561,"Auxin efflux carrier (AHRD V1 ***- Q71T12_MOMCH); contains Interpro domain(s)  IPR014024  Auxin efflux carrier, subgroup ",AT1G73590,ATPIN1,"Encodes a putative auxin efflux carrier involved in shoot and root development. It is involved in the maintenance of embryonic auxin gradients.  Loss of function severely affects organ initiation, pin1 mutants are characterised by an inflorescence meristem that does not initiate any flowers, resulting in the formation of a naked inflorescence stem.  PIN1 is involved in the determination of leaf shape by actively promoting development of leaf margin serrations.  In roots, the protein mainly resides at the basal end of the vascular cells, but weak signals can be detected in the epidermis and the cortex.  Expression levels and polarity of this auxin efflux carrier change during primordium development suggesting that cycles of auxin build-up and depletion accompany, and may direct, different stages of primordium development. PIN1 action on plant development does not strictly require function of PGP1 and PGP19 proteins.",72.24,634,0,885,99.67320261
Solyc03g118750.2.1,-2.015702872,4.973223613,0.002708069,"Phosphoethanolamine N-methyltransferase (AHRD V1 **** Q9AXH3_SOLLC); contains Interpro domain(s)  IPR000896  Hemocyanin, copper-containing ",AT3G18000,NMT1,Arabidopsis thaliana N-methyltransferase-like protein mRNA.,78.37,490,0,822,99.3902439
Solyc03g119030.2.1,-2.500164859,6.032425599,0.000206468,Peroxisomal biogenesis factor 3 (AHRD V1 ***- Q28F64_XENTR); contains Interpro domain(s)  IPR006966  Peroxin-3 ,AT1G48635,PEX3,peroxin-3 family protein; similar to peroxin-3 family protein [Arabidopsis thaliana] (TAIR:AT3G18160.1); similar to PREDICTED: similar to peroxisomal biogenesis factor 3 [Gallus gallus] (GB:XP_419708.1); similar to Os09g0314300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062839.1); contains InterPro domain Peroxin-3; (InterPro:IPR006966),60.07,283,3.00E-95,344,97.56944444
